index,sx,sy,sz,mx,my,mz,qx,qy,qz,qw
0,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4751.13121,-3271.04246,1467.7161400000002,0.78726243104337,0.05293909390585482,-0.2411075763825283,-0.565050841619631
1,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4731.5233100000005,-3272.3397600000008,1437.1350400000001,0.760549663663014,0.058965797214430044,-0.22973937270840203,-0.6044063736332476
2,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4729.80161,-3269.0859600000003,1466.75924,0.7607954794118376,0.05961361343618249,-0.22892402402737472,-0.6043428222645715
3,-0.3267320195753221,0.3267320195753221,-0.886844053133002,-4737.28631,-3268.2975600000004,1484.8800400000002,0.7603324126719954,0.05839511127072195,-0.230457355080623,-0.6044617777074959
4,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4733.06671,-3281.0715600000003,1445.32084,0.7604975459710038,0.05882873409960022,-0.22991183710817242,-0.604419729801952
5,-0.35582999740572135,0.35582999740572135,-0.8641585651281706,-4745.667710000001,-3267.58266,1454.51314,0.789129709803602,0.05737032677432923,-0.23492402990468364,-0.5646181425392147
6,-0.35582999740572135,0.35582999740572135,-0.8641585651281706,-4739.86761,-3273.2900600000003,1444.9429400000001,0.7875336207986757,0.05357578198508413,-0.240220304789377,-0.5649908290081469
7,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4740.8987099999995,-3270.7099600000006,1453.08284,0.7620369948897611,0.06292031227934147,-0.22475673224567955,-0.6040075032913882
8,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4740.159809999999,-3265.6144600000002,1458.0795400000002,0.7872672457354701,0.05295037779837475,-0.24109185492973526,-0.565049784328457
9,-0.35582999740572135,0.35582999740572135,-0.8641585651281706,-4737.53431,-3261.2691600000003,1466.38544,0.7606734273363246,0.05929168130034741,-0.2293292550347274,-0.6043744917335643
10,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4729.964209999999,-3264.4611600000003,1453.6720400000002,0.7607489172230856,0.059490732918696644,-0.22907870964861995,-0.6043549308365261
11,-0.35582999740572135,0.35582999740572135,-0.8641585651281706,-4715.48891,-3278.42666,1451.1975400000001,0.7606391062962229,0.05920125338059315,-0.22944306536319015,-0.6043833562630534
12,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4715.81071,-3269.7566600000005,1453.1545400000002,0.7604166273039351,0.058616125476468384,-0.230179328329201,-0.6044403854506688
13,-0.3267320195753221,0.3267320195753221,-0.886844053133002,-4749.82741,-3256.3090600000005,1487.1639400000001,0.7601872635250332,0.05801478577859817,-0.23093569374329215,-0.6044983989728091
14,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4742.136809999999,-3262.0134600000006,1431.36614,0.7883394580702222,0.05548131998054572,-0.23756240773936,-0.5648068912573948
15,-0.35582999740572135,0.35582999740572135,-0.8641585651281706,-4721.856409999999,-3282.13356,1437.31824,0.7886141934516089,0.056135726930527374,-0.23664879591504778,-0.5647422256575184
16,-0.3674047167175634,0.26243194051255214,-0.8922685977426438,-4696.4221099999995,-3264.6639600000003,1396.12544,0.7604039216106339,0.05858276385940393,-0.23022129847071715,-0.6044436197927971
17,-0.33562431100683293,0.2397316507191726,-0.9109802727328167,-4732.092909999999,-3257.48576,1468.9980400000002,0.7871474644975013,0.0526698659487185,-0.24148264504209932,-0.5650760006402417
